account	job	prebill	Site	name	GLCode	AFE	PO	Rep	description	startdate	stopdate	price	rate	
Anglo-Suisse	5001999	Yes	WD 117G	VSAT Dish, 1.2M Fixed-TM	4043055000000	09-FC-082	ASOP6046/ASOP6052	stevel		2011-03-01		0.00	
Anglo-Suisse	5002001	No	MV Adams Vision	2-Way Radio, VHF Mobile-TM	4043055000000			stevel	Dispatcher Motorola CM-200 2 of 2	2011-03-01	2011-07-13	10.00	Day
Anglo-Suisse	5002001	No	MV Adams Vision	2-Way Radio, VHF Mobile-TM	4043055000000			stevel	Dispatcher Motorola CM-200 1 of 2	2011-03-01	2011-07-13	10.00	Day
Apache Construction	5000685	Yes	Lafayette Office	DS3 Point to Point	4045050000055		Re: DS/AVPN Lafayette	tracyp	LUS Ckt ID - 6306866012 1015000685	2008-07-22		3195.00	Month
Apache Construction	5002386	No	MV Ms. Linda	2-Way Radio, VHF Hand Held	4043050000000			tracyp	HHR-3040	2011-07-11		9.00	day
Apache Construction	5002386	No	MV Ms. Linda	2-Way Radio, VHF Hand Held	4043050000000			tracyp	HHR-3077	2011-07-11		9.00	day
Apache Construction	5002386	No	MV Ms. Linda	2-Way Radio, VHF Hand Held	4043050000000			tracyp	HHR-3012	2011-07-11		9.00	day
Apache Construction	5002386	No	MV Ms. Linda	VSAT Terminal Standard	4013050000000			tracyp	VSAT-5002	2011-07-11		0.00	
Apache Construction	5002386	No	MV Ms. Linda	Space Segment 256/128	4013050000000			tracyp		2011-07-11		150.00	Day
Apache Construction	5002386	No	MV Ms. Linda	VSAT Dish, KVH V7	4043050000000			tracyp		2011-07-11		0.00	
Apache Construction	5002386	No	MV Ms. Linda	Phone Number, Lafayette	4045050000050			tracyp	3378061327	2011-07-11		0.00	
Apache Construction	5002386	No	MV Ms. Linda	Phone Number, Lafayette	4045050000050			tracyp	3378061328	2011-07-11		0.00	
Apache Construction	5002386	No	MV Ms. Linda	2-Way Radio, VHF Hand Held	4043050000000			tracyp	HHR-3052	2011-07-11		9.00	day
Arcadia Gas	5000786	No	Master Station	VSAT Terminal Internet Only	4013050000000			tracyp	Modem: 59506 - Sold to Customer 59506	2009-04-06		0.00	
Arcadia Gas	5000786	No	Master Station	Space Segment 32/32	4013050000000			tracyp		2009-04-06		98.50	Month
Arcadia Gas	5000787	No	Gulf South	VSAT Terminal Internet Only	4013050000000			tracyp	Modem: 80630 - Sold to Customer 80630	2009-04-06		0.00	
Arcadia Gas	5000787	No	Gulf South	Space Segment 32/32	4013050000000			tracyp		2009-04-06		98.50	Month
Arena Oil & Gas	5000573	No	SMI 192	VSAT Dish, 1.2M Fixed	4043050000000			tracyp		2008-10-05		0.00	
Arena Oil & Gas	5000573	No	SMI 192	VSAT Terminal Standard	4013050000000			tracyp	terminal swapped because 1108 got wet on platform VSAT-1117	2008-10-15		0.00	
Arena Oil & Gas	5000573	No	SMI 192	Phone Number, Houston	4045050000050			tracyp	8324614532	2008-10-05		0.00	
Arena Oil & Gas	5000573	No	SMI 192	Phone Number, Houston	4045050000050			tracyp	8324614533	2008-10-05		0.00	
Arena Oil & Gas	5000573	No	SMI 192	Space Segment 512/128	4013050000000			tracyp		2008-10-05		1300.00	Month
Arena Oil & Gas	5000574	No	MI 668	Phone Number, Houston	4045050000050			tracyp	8324614624	2008-06-11		0.00	
Arena Oil & Gas	5000574	No	MI 668	Phone Number, Houston	4045050000050			tracyp	8324614623	2008-06-11		0.00	
Arena Oil & Gas	5000574	No	MI 668	Space Segment 512/256	4013050000000			tracyp		2008-06-11		1300.00	Month
Arena Oil & Gas	5000574	No	MI 668	VSAT Dish, 1.2M Fixed	4043050000000			tracyp	Modem: 66964 VSAT-1106	2008-06-11		0.00	
Arena Oil & Gas	5000576	No	WC 548	VSAT Terminal Standard	4013050000000			tracyp	VSAT-1126	2008-10-02		0.00	
Arena Oil & Gas	5000576	No	WC 548	Satellite TV, DirecTV	4013050000000			tracyp	A10gb8fl531785	2008-10-02		150.00	Month
Arena Oil & Gas	5000576	No	WC 548	Satellite TV, DirecTV	4013050000000			tracyp	a10gb8lw110739	2008-10-22		0.00	
Arena Oil & Gas	5000576	No	WC 548	Phone Number, Houston	4045050000050			tracyp	8324614538	2008-10-02		0.00	
Arena Oil & Gas	5000576	No	WC 548	Phone Number, Houston	4045050000050			tracyp	8324614539	2008-10-02		0.00	
Arena Oil & Gas	5000576	No	WC 548	Space Segment 512/128	4013050000000			tracyp		2008-10-02		1300.00	Month
Arena Oil & Gas	5000576	No	WC 548	VSAT Dish, 1.2M Fixed	4043050000000			tracyp		2008-10-02		0.00	
Arena Oil & Gas	5001522	No	GI 78	Phone Number, Houston	4045050000050			tracyp	8324614503	2010-06-21		0.00	
Arena Oil & Gas	5001522	No	GI 78	Phone Number, Houston	4045050000050			tracyp	8324614502	2010-06-21		0.00	
Arena Oil & Gas	5001522	No	GI 78	Space Segment 512/128	4013050000000			tracyp		2010-06-21		1300.00	Month
Arena Oil & Gas	5001522	No	GI 78	VSAT Terminal Standard	4013050000000			tracyp	VSAT-1150	2010-06-21		0.00	
Arena Oil & Gas	5001522	No	GI 78	VSAT Dish, 1.2M Fixed	4043050000000			tracyp		2010-06-21		0.00	
Aries Marine	5002298	No	Ram IX	Phone Number, Houston	4045050000050			jerrelb	2819210741	2011-06-01	2011-07-27	0.00	
Aries Marine	5002298	No	Ram IX	Phone Number, Houston	4045050000050			jerrelb	2819210742	2011-06-01	2011-07-27	0.00	
Aries Marine	5002298	No	Ram IX	Space Segment 512/128	4013050000000			jerrelb		2011-06-01	2011-07-27	80.00	day
Aries Marine	5002298	No	Ram IX	VSAT Dish, 1.2M Auto-Acquire	4043050000000			jerrelb		2011-06-01	2011-07-27	0.00	
Aries Marine	5002298	No	Ram IX	VSAT Terminal Standard	4013050000000			jerrelb		2011-06-01	2011-07-27	0.00	
Basic Marine Services	5001985	No	Rig 10	Phone Number, Houma	4045050000050			jerrelb	9857728508	2011-03-04		0.00	
Basic Marine Services	5001985	No	Rig 10	Phone Number, Houma	4045050000050			jerrelb	9857728502	2011-03-04		0.00	
Basic Marine Services	5001985	No	Rig 10	Space Segment 512/128	4013050000000			jerrelb		2011-03-04		15.00	Day
Basic Marine Services	5001985	No	Rig 10	VSAT Terminal Standard	4013050000000			jerrelb	VSAT-1111	2011-03-04		0.00	
Basic Marine Services	5002164	No	Basic Rig 11	Phone Number, Houma	4045050000050			jerrelb	985-772-8509	2011-03-25		0.00	Day
Basic Marine Services	5002164	No	Basic Rig 11	Space Segment 512/128	4013050000000			jerrelb		2011-03-25		15.00	Day
Basic Marine Services	5002164	No	Basic Rig 11	Phone Number, Houma	4045050000050			jerrelb	9857728510	2011-03-25		0.00	
Basic Marine Services	5002216	No	Basic Rig 14	Space Segment 512/128	4013050000000	11665		jerrelb	Split evenly with Swift on Job 5002361	2011-06-01	2011-07-18	47.50	day
Basic Marine Services	5002216	No	Basic Rig 14	Phone Number, Houma	4045050000050	11665		jerrelb	985-772-8523	2011-04-20	2011-07-18	0.00	
Basic Marine Services	5002216	No	Basic Rig 14	Phone Number, Houma	4045050000050	11665		jerrelb	985-772-8522	2011-04-20	2011-07-18	0.00	
Basic Marine Services	5002216	No	Basic Rig 14	VSAT Terminal Standard	4013050000000	11665		jerrelb		2011-04-20	2011-07-18	0.00	
Basic Marine Services	5002400	No	Basic Rig 14	Phone Number, Houma	4045050000050			jerrelb	9857728522	2011-07-19			
Basic Marine Services	5002400	No	Basic Rig 14	Phone Number, Houma	4045050000050			jerrelb	9857728523	2011-07-19			
Basic Marine Services	5002400	No	Basic Rig 14	Space Segment 512/128	4013050000000			jerrelb		2011-07-19		15.00	Day
Basic Marine Services	5002400	No	Basic Rig 14	VSAT Terminal Standard	4013050000000			jerrelb		2011-07-19			
Basic Marine Services	5002400	No	Basic Rig 14	VSAT Dish, .96M Auto-Acquire	4043050000000			jerrelb		2011-07-19			
Beau Soleil Marine, LLC	5002068	Yes	MV Leader	Phone Number, Iridium-TM	4045055000050			shawno	4802637053	2011-03-01		55.00	Month
Beau Soleil Marine, LLC	5002209	No	MV Jason	Phone Number, Iridium-TM	4045055000050			shawno	Customer owned equipment. 4804567497	2011-04-20		55.00	Month
BHP Billiton	5002002	Yes	MV Harvey Carrier	Satellite Phone, MSAT G2-TM	4043055000000		3200146629	shawno	MTID billing # 155012	2011-03-01		600.00	Month
BHP Billiton	5002002	Yes	MV Harvey Carrier	Phone number, MSAT G2-TM	4045055000050		3200146629	shawno	8662131750	2011-03-01		20.00	Month
BHP Billiton	5002002	Yes	MV Harvey Carrier	Call Barring-TM	4045055000050		3200146629	shawno		2011-03-01		12.00	Month
BHP Billiton	5002003	Yes	Fourchon Shorebase	Satellite Phone, MSAT G2-TM	4043055000000		3200146629	shawno	MTID billing #118950	2011-03-01		600.00	Month
BHP Billiton	5002003	Yes	Fourchon Shorebase	Call Barring-TM	4045055000050		3200146629	shawno		2011-03-01		12.00	Month
BHP Billiton	5002003	Yes	Fourchon Shorebase	Phone number, MSAT G2-TM	4045055000050		3200146629	shawno	8772650301	2011-03-01		20.00	Month
BHP Billiton	5002004	Yes	Houma Airbase	Satellite Phone, MSAT G2-TM	4043055000000		3200146629	shawno	MTID Billing #117626	2011-03-01		350.00	Month
BHP Billiton	5002004	Yes	Houma Airbase	Phone number, MSAT G2-TM	4045055000050		3200146629	shawno	8776024044	2011-03-01		20.00	Month
BHP Billiton	5002005	Yes	MV Amber	Call Barring-TM	4045055000050		3200146629	shawno		2011-03-01		12.00	Month
BHP Billiton	5002005	Yes	MV Amber	Phone number, MSAT G2-TM	4045055000050		3200146629	shawno	8772650299	2011-03-01		20.00	Month
BHP Billiton	5002005	Yes	MV Amber	Satellite Phone, MSAT G2-TM	4043055000000		3200146629	shawno	MTID billing # 118949	2011-03-01		600.00	Month
BHP Billiton	5002006	Yes	MV C-Performer	Satellite Phone, MSAT G2-TM	4043055000000		3200146629	shawno	MTID billing #120474	2011-03-01		600.00	Month
BHP Billiton	5002006	Yes	MV C-Performer	Phone number, MSAT G2-TM	4045055000050		3200146629	shawno	8772654272	2011-03-01		20.00	Month
BHP Billiton	5002006	Yes	MV C-Performer	Call Barring-TM	4045055000050		3200146629	shawno		2011-03-01		12.00	Month
BHP Billiton	5002007	Yes	MV Allie Chouest	Call Barring-TM	4045055000050		3200146629	shawno		2011-03-01		12.00	Month
BHP Billiton	5002007	Yes	MV Allie Chouest	Satellite Phone, MSAT G2-TM	4043055000000		3200146629	shawno	MTID billing #154832	2011-03-01		600.00	Month
BHP Billiton	5002007	Yes	MV Allie Chouest	Phone number, MSAT G2-TM	4045055000050		3200146629	shawno	8008519982	2011-03-01		20.00	Month
BHP Billiton	5002008	Yes	MV Fast Skipper	Satellite Phone, MSAT G2-TM	4043055000000		3200146629	shawno		2011-03-01		600.00	Month
BHP Billiton	5002008	Yes	MV Fast Skipper	Phone number, MSAT G2-TM	4045055000050		3200146629	shawno	8775986309	2011-03-01		20.00	Month
BHP Billiton	5002008	Yes	MV Fast Skipper	Call Barring-TM	4045055000050		3200146629	shawno		2011-03-01		12.00	Month
Black Elk Energy	5002236	Yes	HI442A	Space Segment 512/256-TM	4013055000000			tracyp		2011-05-01		2000.00	Month
Black Elk Energy	5002236	Yes	HI442A	VSAT Terminal Standard-TM	4013055000000			tracyp		2011-05-01		0.00	
Black Elk Energy	5002236	Yes	HI442A	VSAT Dish, 1.2M Fixed-TM	4043055000000			tracyp		2011-05-01		0.00	
Black Elk Energy	5002236	Yes	HI442A	Phone Number, Lafayette-TM	4045055000050			tracyp	3372050901	2011-05-01		0.00	
Black Elk Energy	5002236	Yes	HI442A	Phone Number, Lafayette-TM	4045055000050			tracyp	3372050902	2011-05-01		0.00	
Black Elk Energy	5002236	Yes	HI442A	Phone Number, Lafayette-TM	4045055000050			tracyp	3372050903	2011-05-01		0.00	
Black Elk Energy	5002236	Yes	HI442A	Phone Number, Vendor Provided-TM	4045055000050			tracyp	Fax 3372059020	2011-05-01		0.00	
Black Elk Energy	5002236	Yes	HI442A	Fax Machine-TM	4043055000000			tracyp		2011-05-01		0.00	
Black Elk Energy	5002236	Yes	HI442A	Phone Number, Lafayette-TM	4045055000050			tracyp	3372050900	2011-05-01		0.00	
Black Elk Energy	5002237	Yes	WD32	VSAT Dish, 1.2M Fixed-TM	4043055000000			tracyp		2011-05-01		0.00	
Black Elk Energy	5002237	Yes	WD32	VSAT Terminal Standard-TM	4013055000000			tracyp	Modem: 114758	2011-05-01		0.00	
Black Elk Energy	5002237	Yes	WD32	Space Segment 512/256-TM	4013055000000			tracyp		2011-05-01		1500.00	Month
Black Elk Energy	5002237	Yes	WD32	Phone Number, Lafayette-TM	4045055000050			tracyp	3372050892	2011-05-01		0.00	
Black Elk Energy	5002237	Yes	WD32	Phone Number, Vendor Provided-TM	4045055000050			tracyp	Fax 3372059027	2011-05-01		0.00	
Black Elk Energy	5002237	Yes	WD32	Phone Number, Lafayette-TM	4045055000050			tracyp	3372050891	2011-05-01		0.00	
Black Elk Energy	5002238	Yes	SS219B	VSAT Dish, 1.2M Fixed-TM	4043055000000			tracyp		2011-05-01		0.00	
Black Elk Energy	5002238	Yes	SS219B	VSAT Terminal Standard-TM	4013055000000			tracyp		2011-05-01		0.00	
Black Elk Energy	5002238	Yes	SS219B	Space Segment 256/128-TM	4013055000000			tracyp		2011-05-01		1500.00	Month
Black Elk Energy	5002238	Yes	SS219B	Phone Number, Lafayette-TM	4045055000050			tracyp	3372050894	2011-05-01		0.00	
Black Elk Energy	5002238	Yes	SS219B	Phone Number, Lafayette-TM	4045055000050			tracyp	3372050895	2011-05-01		0.00	
Black Elk Energy	5002238	Yes	SS219B	Phone Number, Vendor Provided-TM	4045055000050			tracyp	Fax 3372059025	2011-05-01		0.00	
Black Elk Energy	5002239	Yes	SS219A	VSAT Dish, 1.2M Fixed-TM	4043055000000			tracyp		2011-05-01		0.00	
Black Elk Energy	5002239	Yes	SS219A	VSAT Terminal Standard-TM	4013055000000			tracyp	Modem: 114211	2011-05-01		0.00	
Black Elk Energy	5002239	Yes	SS219A	Space Segment 512/256-TM	4013055000000			tracyp		2011-05-01		2000.00	Month
Black Elk Energy	5002239	Yes	SS219A	Phone Number, Lafayette-TM	4045055000050			tracyp	3372050898	2011-05-01		0.00	
Black Elk Energy	5002239	Yes	SS219A	Phone Number, Vendor Provided-TM	4045055000050			tracyp	Fax 3372059026	2011-05-01		0.00	
Black Elk Energy	5002239	Yes	SS219A	Phone Number, Lafayette-TM	4045055000050			tracyp	3372050897	2011-05-01		0.00	
Bordelon Marine	5002009	Yes	MV Marcel Bordelon	Fax Machine-TM	4043055000000			shawno	Brother MFC290C	2011-03-01		0.00	
Bordelon Marine	5002009	Yes	MV Marcel Bordelon	Phone Number, Houma-TM	4045055000050			shawno	9852622475	2011-03-01		0.00	
Bordelon Marine	5002009	Yes	MV Marcel Bordelon	Phone Number, Houma-TM	4045055000050			shawno	9852622128	2011-03-01		0.00	
Bordelon Marine	5002009	Yes	MV Marcel Bordelon	Phone Number, Houma-TM	4045055000050			shawno	Fax 9857469092	2011-03-01		0.00	
Bordelon Marine	5002009	Yes	MV Marcel Bordelon	VSAT Terminal Gilat-TM	4013055000000			shawno		2011-03-01		0.00	
Bordelon Marine	5002009	Yes	MV Marcel Bordelon	VSAT dish, Azimuth .85m-TM	4043055000000			shawno		2011-03-01		0.00	
Bordelon Marine	5002009	Yes	MV Marcel Bordelon	Space Segment 1024/512-TM	4013055000000			shawno		2011-03-01		3000.00	Month
BP America	5001600	No	Encinal	Phone Number, Iridium	4045050000050			jeffc	713-550-1118 881621454770	2010-08-10		50.00	Month
BP America	5001600	No	Encinal	Phone Number, Iridium	4045050000050			jeffc	881621454772	2010-08-10		50.00	Month
BP America	5001600	No	Encinal	Airtime, Irridium	4045050000050			jeffc	.99 cent iridiium to iridium	2010-08-10		1.50	Minute
BP America	5001600	No	Encinal	Airtime, Irridium	4045050000050			jeffc	.99 cent iridiium to iridium	2010-08-10		1.50	Minute
Bradley & Moreau Real Title	5000244	Yes	Camelia Blvd	2-Way Complete, Ported	4045050000050			waltm	Camelia Main Line 3372354660	2008-04-01		29.99	Month
Bradley & Moreau Real Title	5000244	Yes	Camelia Blvd	2-Way, VoIP Trunk	4045050000055			waltm	Adds two Consecutive calls 3372354660-A	2008-04-01		29.99	Month
Bradley & Moreau Real Title	5000244	Yes	Camelia Blvd	2-Way, DID	4045050000050			waltm	7.99 each 3373669154-82&9070	2008-04-01		231.70	Month
Bradley & Moreau Real Title	5000244	Yes	Camelia Blvd	Internet, 3M LUS On-Net	4011050000000			waltm	On DC SPR @ Camilla Blvd 1015000244	2008-01-01		325.00	Month
Bradley & Moreau Real Title	5000244	Yes	Camelia Blvd	Interconnect, VoIP	4045050000055			waltm	1005000244	2008-04-01		312.50	Month
Bradley & Moreau Real Title	5000244	Yes	Camelia Blvd	Internet, 3M LUS On-Net	4011050000000			waltm	On DC SPR @ St Mary St 1025000244	2008-05-15		325.00	Month
Bradley & Moreau Real Title	5000244	Yes	Camelia Blvd	2-Way Complete, Ported	4045050000050			waltm	Camelia Fax, email to receptionist. 3372354647	2008-04-01		29.99	Month
C&G Boats	5002010	Yes	MV Ms. Maggie	Phone Number, Iridium-TM	4045055000050			shawno	4802634854	2011-03-01		55.00	Month
Cajun Maritime, LLC	5002011	Yes	Office	Satellite phone, Inmarsat-TM	4043055000000		63571	admin	sim 898709910416141894 870776442969	2011-03-01		25.00	Month
Cajun Maritime, LLC	5002370	No	Cajun Pride	Phone Number, Lafayette-TM	4045055000050		1711-74278	admin	3372050970	2011-06-14		0.00	
Cajun Maritime, LLC	5002370	No	Cajun Pride	Phone Number, Lafayette-TM	4045055000050		1711-74278	admin	fax 3372059052	2011-06-14		0.00	
Cajun Maritime, LLC	5002370	No	Cajun Pride	Phone Number, Lafayette-TM	4045055000050		1711-74278	admin	3372050971	2011-06-14		0.00	
Cajun Maritime, LLC	5002370	No	Cajun Pride	Fax Machine-TM	4043055000000		1711-74278	admin	Brother MFC290C	2011-06-14		0.00	
Cajun Maritime, LLC	5002370	No	Cajun Pride	Space Segment 256/128-TM	4013055000000		1711-74278	admin		2011-06-14		150.00	Day
Cajun Maritime, LLC	5002370	No	Cajun Pride	VSAT dish, Azimuth 1m-TM	4043055000000		1711-74278	admin		2011-06-14		0.00	
Cajun Maritime, LLC	5002370	No	Cajun Pride	VSAT Terminal Standard-TM	4013055000000		1711-74278	admin	Modem:114742	2011-06-14		0.00	
Cajun Maritime, LLC	5002370	No	Cajun Pride	2-Way Radio, Marine Mobile	4043050000000		1711-74278	admin		2011-07-13		15.00	day
Chesapeake Energy	5001006	No	Victory Compressor AA	VSAT Terminal Internet Only	4013050000000		090916-012939	tracyp	Customer owned, loaner 8 port switch	2009-07-08		0.00	
Chesapeake Energy	5001006	No	Victory Compressor AA	Space Segment 768/768	4013050000000		090916-012939	tracyp		2009-09-17		1201.50	Month
Chesapeake Energy	5001347	No	Wyoming	Space Segment 128/128	4013050000000		PO 100831-022125	tracyp		2010-03-30		11.00	Day
Chesapeake Energy	5001347	No	Wyoming	VSAT Dish, 1.2M Fixed	4043050000000		PO 100831-022125	tracyp		2010-03-30		0.00	Day
Chesapeake Energy	5001602	No	Victory Compressor Fixed	VSAT Terminal Internet Only	4013050000000		100811-019667	tracyp	Customer owned. 76358	2010-08-19		0.00	
Chesapeake Energy	5001602	No	Victory Compressor Fixed	Space Segment 512/256	4013050000000		100811-019667	tracyp	includes 5 days, 25.00 day additional.	2010-08-19		99.00	Month
Chesapeake Energy	5001602	No	Victory Compressor Fixed	VSAT Dish, 1.2M Fixed	4043050000000		100811-019667	tracyp		2010-08-19		0.00	
Chesapeake Energy	5001638	No	Keithville DR	VSAT Terminal Internet Only	4013050000000			tracyp	customer owned 134347	2010-09-02		0.00	
Chesapeake Energy	5001638	No	Keithville DR	VSAT Dish, 1.2M Fixed	4043050000000			tracyp		2010-09-02		0.00	
Chesapeake Energy	5001638	No	Keithville DR	Space Segment 512/128	4013050000000			tracyp	includes 5 days. 25.00 day for extra	2010-09-02		99.00	Month
Chesapeake Energy	5001639	No	Keathcie DR	VSAT Terminal Internet Only	4013050000000			tracyp	Customer owned swapped 12/23/10 134656	2010-09-02		0.00	
Chesapeake Energy	5001639	No	Keathcie DR	VSAT Dish, 1.2M Fixed	4043050000000			tracyp		2010-09-02		0.00	
Chesapeake Energy	5001639	No	Keathcie DR	Space Segment 512/128	4013050000000			tracyp	includes 5 days. 25.00 day extra day.	2010-09-02		99.00	Month
Chesapeake Energy	5001659	No	Billings DR	VSAT Dish, 1.2M Fixed	4043050000000		100910-022450	tracyp	customer owned	2010-09-29		0.00	
Chesapeake Energy	5001659	No	Billings DR	Space Segment 512/256	4013050000000		100910-022450	tracyp	25.00 /day after 5 days	2010-09-29		99.00	Month
